Country,Birth Rate,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Mobile Phone Usage,Life Expectancy Average,Net Tourism Impact,Dependency Ratio,Urban_Rate,CO2_per_capita
Equatorial Guinea,0.037295784743696894,3.295836866004329,7.325850564571936,22.20731381343092,0.020782539182528505,5.2574953720277815,5.480638923341991,0.08525984395082342,0.0,0.16551443847757338,0.09531017980432487,3.9015133218161084,0.41202250791377537,0.8493453252055829,0.5190081604450651,0.6445320612857103
Eritrea,0.039220713153281295,4.339193295242584,7.325850564571936,20.826773239349986,0.028587456851912555,2.0794415416798357,5.480638923341991,0.04783732941416013,0.09531017980432487,0.11332868530700317,0.0,4.076962566003931,-1.8320333568603466,0.8867643034098778,0.23355394630936066,0.4329131090787462
Ethiopia,0.039220713153281295,3.5553480614894135,10.253369476067258,23.020393166507915,0.04210117601863539,1.9459101490553132,5.480638923341991,0.07138999608667294,0.0,0.06765864847381481,0.0,4.0342014792848495,2.049331725442716,1.007115393603718,0.16718932894811853,0.47267156566814816
Gabon,0.032467190137501496,3.295836866004329,7.396335293800808,22.69430552152458,0.03343477608623739,5.198497031265826,5.480638923341991,0.050693114315518116,0.0,0.16551443847757338,0.33647223662121295,4.110739473633596,-1.3127059945852508,0.8946242273328217,0.8985789743539315,0.5298198692342259
"Gambia, The",0.04305948946044697,3.295836866004329,7.325850564571936,20.1764426768075,0.04305948946044697,2.9444389791664403,5.480638923341991,0.05638033343610764,0.0,0.2078798829012179,0.09531017980432487,4.051444567320434,2.1400660164374603,0.9727712178420926,0.6173843939970448,0.40864269553421395
Ghana,0.03343477608623739,3.1354942159291497,9.020147920801659,22.90722721777708,0.05921185963184608,3.295836866004329,5.480638923341991,0.0573250666192694,0.0,0.11332868530700317,0.09531017980432487,4.07739378638426,0.6061358018868113,0.8336770498165469,0.47723390196649396,0.5282676257666756
Guinea,0.039220713153281295,3.713572066704308,9.57073837671504,22.022462194597434,0.05164323315183845,3.044522437723423,5.480638923341991,0.08434114843375087,0.0,0.11332868530700317,0.0,3.970291913552122,3.167219455151912,0.9288849455244946,0.36754028639441777,0.44865072594168726
Guinea-Bissau,0.039220713153281295,3.295836866004329,7.325850564571936,20.074426004877914,0.05164323315183845,3.044522437723423,5.480638923341991,0.09440067542148431,0.0,0.11332868530700317,0.0,3.970113882572851,-1.8625547779106526,0.8945753380171294,0.5000891939563515,0.37561412305641867
Kenya,0.03825871211709034,3.8712010109078907,9.65200882504456,23.501794484846386,0.04210117601863539,3.044522437723423,5.480638923341991,0.061095099359810875,0.0,0.11778303565638346,0.09531017980432487,4.007167868649712,2.001229710634359,0.8844628955472346,0.23376787208000605,0.5147486382146411
Lesotho,0.028587456851912555,4.339193295242584,7.325850564571936,20.93368696434538,0.06765864847381481,3.828641396489095,5.480638923341991,0.08065790301745447,0.0,0.11689375147149933,0.09531017980432487,3.881417612930858,-2.36952454080474,0.8665504982329119,0.2854638675658147,0.6257985101593654
Liberia,0.04018178963283183,3.295836866004329,9.57073837671504,19.9618398177745,0.08434114843375087,2.639057329615259,5.480638923341991,0.08617769624105233,0.0,0.16636153721522526,0.0,4.007167868649712,0.710241596385643,0.9057690686284599,0.5284518928040698,0.4302527210753558
Libya,0.02273948696948943,3.295836866004329,9.786785182749986,24.231361013626753,0.0344014267173324,5.327876168789581,5.480638923341991,0.020782539182528505,0.0,0.05921185963184608,0.09531017980432487,4.310596390717361,-1.106245910959192,0.6228832692999622,0.771859383473595,0.6975441187252552
Madagascar,0.037295784743696894,3.8066624897703196,9.57073837671504,22.196639876848312,0.04783732941416013,2.5649493574615367,5.480638923341991,0.05638033343610764,0.0,0.2078798829012179,0.0,4.1187396443068165,0.7943323197321313,0.9556750334809019,0.3128791677383399,0.44933129083377016
Malawi,0.04210117601863539,3.6888794541139363,9.57073837671504,21.68839515048452,0.07510747248680541,2.833213344056216,5.480638923341991,0.07510747248680541,0.0,0.2078798829012179,0.0,3.8964586005829336,0.05556985038261075,0.9948772756615547,0.17975064023622409,0.42109055445939536
Mali,0.04688358589885042,3.7376696182833684,9.57073837671504,22.30721739755248,0.061095099359810875,3.332204510175204,5.480638923341991,0.09621885774054292,0.0,0.11332868530700317,0.0,3.9512437185814275,0.12751331934121168,1.0021429276028027,0.3520073435647495,0.3897272479809309
Mauritania,0.036331929247390274,4.339193295242584,9.57073837671504,21.329462702652396,0.0573250666192694,3.367295829986474,5.480638923341991,0.07232066157962612,0.0,0.1906203596086497,0.18232155679395462,4.1187396443068165,0.41202250791377537,0.8675010153355679,0.5932170159537032,0.49544342741776953
Mauritius,0.01587334915629015,3.8501476017100584,7.325850564571936,22.57732559245717,0.04114194333117518,5.429345628954441,5.480638923341991,0.013902905168991422,0.09531017980432487,0.1906203596086497,0.4054651081081644,4.296150331951521,1.428703540299928,0.539769974295809,0.523521857006658,0.5753429145651839
Morocco,0.019802627296179712,2.5649493574615367,9.41099288545486,24.76540467701374,0.050693114315518116,4.605170185988092,5.480638923341991,0.036331929247390274,0.09531017980432487,0.10885440491208209,0.26236426446749106,4.248086912096081,1.6050423000848362,0.6519258232549138,0.5321609536828348,0.6202796306333953
Mozambique,0.04305948946044697,4.339193295242584,9.033125752550372,22.46337953599041,0.0573250666192694,2.833213344056216,5.480638923341991,0.09075436326846414,0.0,0.19967019512856762,0.0,3.8868806641173106,-0.3772942278676581,0.9530374228686318,0.3257627327389095,0.44921675052970494
Namibia,0.0295588022415444,4.339193295242584,7.325850564571936,22.611375316531205,0.06297479916138844,5.365976015021851,5.480638923341991,0.04688358589885042,0.0,0.10795714150509228,0.09531017980432487,4.024713528555347,1.2422549851142897,0.821393251098508,0.44231257111047345,0.5225405665976147
Niger,0.050693114315518116,3.58351893845611,9.57073837671504,21.8393573654122,0.06859279146561172,2.833213344056216,5.480638923341991,0.08250122151174369,0.0,0.11332868530700317,0.0,3.9889840465642745,-0.27193370804316785,1.063929929557997,0.19738757943450363,0.4201128921217238
Nigeria,0.04210117601863539,3.6109179126442243,11.53029375913132,25.198844333523414,0.06765864847381481,3.828641396489095,5.480638923341991,0.09531017980432487,0.0,0.17563256864315802,0.09531017980432487,3.901921651769386,-2.230672493188578,0.9008646016087978,0.36319071638801625,0.6131387717473549
Rwanda,0.03825871211709034,2.9444389791664403,9.57073837671504,21.460041752004223,0.05638033343610764,2.639057329615259,5.480638923341991,0.07232066157962612,0.0,0.1527210870176639,0.0,3.997821802143636,0.3502024199023239,0.9304395655931293,0.2213696347734752,0.40750897951572235
Sao Tome and Principe,0.037295784743696894,4.339193295242584,7.325850564571936,18.52254542328854,0.10436001532424277,4.382026634673881,5.480638923341991,0.04879016416943201,0.09531017980432487,0.2078798829012179,0.09531017980432487,4.173913672891249,0.7328269706528054,0.9103198962370018,0.7964401924727628,0.36095831565094855
Senegal,0.03825871211709034,4.0943445622221,7.914617709040679,22.806617753260994,0.055434706888100586,3.7612001156935624,5.480638923341991,0.0573250666192694,0.0,0.11332868530700317,0.09531017980432487,4.110336085148626,0.7287381219127731,0.942205158189104,0.4446929727234519,0.5287866196703519
Seychelles,0.0168571170664229,3.295836866004329,7.325850564571936,20.54810252189856,0.04210117601863539,6.045005314036012,5.480638923341991,0.011928570865273802,0.18232155679395462,0.09531017980432487,0.4700036292457356,4.296150331951521,1.574885515965768,0.5759490923375902,0.7628842518685607,0.5841920269231191
Sierra Leone,0.04114194333117518,3.295836866004329,9.57073837671504,21.081785153583667,0.11280077550070604,3.828641396489095,5.480638923341991,0.10466782725564819,0.0,0.19967019512856762,0.4054651081081644,3.881417612930858,0.6592456127923079,0.8667334961066332,0.4254943160859654,0.4195939993393773
Somalia,0.045928931888399804,3.295836866004329,9.57073837671504,23.436618790804065,0.05921185963184608,5.267858159063328,5.480638923341991,0.09984533496971613,0.0,0.11332868530700317,0.09531017980432487,3.9792884519069496,0.41202250791377537,1.0427028797299245,0.3942173431226431,0.3992185227034253
South Africa,0.02273948696948943,3.6635616461296463,11.706565887923823,26.11276184523722,0.08525984395082342,6.018593214496234,5.480638923341991,0.050693114315518116,0.09531017980432487,0.10705907229340778,0.33647223662121295,3.970113882572851,0.5804696873728119,0.6266985020483339,0.5518765404024555,0.7338841788290724
South Sudan,0.039220713153281295,3.295836866004329,9.57073837671504,23.436618790804065,0.05921185963184608,5.267858159063328,5.480638923341991,0.08709470685093376,0.09531017980432487,0.11332868530700317,0.4054651081081644,3.951058773138224,0.41202250791377537,0.9405649333243282,0.2081144384516154,0.5706795578420946
Sudan,0.037295784743696894,3.6888794541139363,9.600353375525426,23.789358069763548,0.04018178963283183,3.4011973816621555,5.480638923341991,0.061095099359810875,0.0,0.11332868530700317,0.0,4.102335914475406,-2.125961515377501,0.907142616520876,0.3449704123286577,0.54168297785093
Swaziland,0.03149866705937099,3.295836866004329,7.325850564571936,21.607285651076378,0.0573250666192694,4.875197323201151,5.480638923341991,0.07881118042428978,0.0,0.10705907229340778,0.09531017980432487,3.881417612930858,0.32850406178685176,0.8827078440721021,0.3031095349990794,0.49894017896307524
Tanzania,0.04114194333117518,3.367295829986474,9.692704790920137,23.274724753767767,0.03343477608623739,2.5649493574615367,5.480638923341991,0.05921185963184608,0.0,0.13190507087993858,0.09531017980432487,3.9796379800581985,0.48321386016721846,0.9454630098673507,0.261155843541521,0.48024873624341047
Togo,0.037295784743696894,4.189654742026425,7.752764808851328,21.384444702303558,0.0573250666192694,3.091042453358316,5.480638923341991,0.06765864847381481,0.0,0.11332868530700317,0.09531017980432487,4.007167868649712,-0.41871032117397533,0.8926006022224872,0.4039988409118213,0.46723171805209956
Tunisia,0.0168571170664229,2.4849066497880004,9.043577154098081,24.163143378702184,0.054488185284069734,5.19295685089021,5.480638923341991,0.020782539182528505,0.09531017980432487,0.11332868530700317,0.33647223662121295,4.303699729651193,1.7396852279266959,0.5836998493309445,0.6526778196138733,0.6218557344601164
Uganda,0.045928931888399804,3.5553480614894135,9.57073837671504,22.795224786729108,0.0760346862759976,3.2188758248682006,5.480638923341991,0.07045846364856141,0.0,0.1873090983049937,0.0,3.970291913552122,0.528391944886117,1.0851303061652617,0.14774450898659203,0.439022340884935
Zambia,0.04305948946044697,3.58351893845611,8.854522203757432,22.416893485065167,0.06485097231961631,3.5263605246161616,5.480638923341991,0.07788653865707122,0.0,0.2078798829012179,0.0,3.881417612930858,0.06744128003719041,0.997704615423437,0.4002313355472856,0.47228670547588075
Zimbabwe,0.03149866705937099,4.339193295242584,9.1345386585599,22.48208853791108,0.05921185963184608,5.267858159063328,5.480638923341991,0.05638033343610764,0.09531017980432487,0.2078798829012179,0.0,3.881417612930858,-0.854634647489398,0.8740592268561315,0.3790568575605034,0.5626556876030184
Afghanistan,0.044973365642731154,2.302585092994046,9.57073837671504,22.388225869666492,0.09349034308733889,2.995732273553991,5.480638923341991,0.08250122151174369,0.0,0.11332868530700317,0.0,4.051444567320434,0.41202250791377537,1.0635509561617769,0.25206978920987283,0.3882768051547996
Armenia,0.013902905168991422,2.9444389791664403,7.647786045440933,21.997682726718754,0.053540766928029816,4.189654742026425,5.480638923341991,0.02176149178151269,0.0,0.1705863005755337,0.09531017980432487,4.303242649447499,-0.13883644416469565,0.615202091347451,0.6986740930818895,0.5495935928605361
Azerbaijan,0.01587334915629015,4.339193295242584,9.456184308811169,22.88434634072292,0.0760346862759976,4.406719247264253,5.480638923341991,0.045928931888399804,0.09531017980432487,0.1458304482115395,0.18232155679395462,4.2406793692035105,-0.572194564626912,0.5891139096941217,0.5542467051666458,0.6512662150590173
Bangladesh,0.023716526617316044,3.9318256327243257,10.023712049842496,24.758581012850616,0.030529205034822874,2.5649493574615367,5.480638923341991,0.05164323315183845,0.0,0.13802129789737466,0.0,4.226807104886683,-1.7605765308959143,0.7143708227296551,0.2598082653346655,0.564341170450716
Bhutan,0.023716526617316044,4.143134726391533,7.325850564571936,20.370415027390465,0.04305948946044697,3.912023005428146,5.480638923341991,0.04688358589885042,0.0,0.13976194237515868,0.0,4.1588830833596715,-3.557543377322755,0.7174990015731632,0.4104562719913606,0.42915397067340855
Brunei Darussalam,0.019802627296179712,3.295836866004329,7.739359202689098,22.78662032278231,0.0295588022415444,6.490723534502507,5.480638923341991,0.007968169649176874,0.26236426446749106,0.053540766928029816,0.4700036292457356,4.356379987480106,-0.7469235744336906,0.5545783658642652,0.9015101798565728,0.6710724428665715
Cambodia,0.02566774674857779,4.339193295242584,8.128585200374497,22.398085650460718,0.06859279146561172,3.4011973816621555,5.480638923341991,0.055434706888100586,0.0,0.11332868530700317,0.09531017980432487,4.203689162704515,2.1297186839567317,0.7717425500864294,0.22418616885198986,0.4760049091646293
China,0.011928570865273802,3.8918202981106265,11.706565887923823,28.289392740534907,0.045928931888399804,4.2626798770413155,5.480638923341991,0.02176149178151269,0.09531017980432487,0.054488185284069734,0.26236426446749106,4.31739921674525,0.2618959900393456,0.4957219561034513,0.344976007166181,0.7185400879842481
Georgia,0.011928570865273802,3.258096538021482,7.930925372483388,22.357449800152793,0.08157998699242287,4.584967478670572,5.480638923341991,0.023716526617316044,0.0,0.19967019512856762,0.18232155679395462,4.296150331951521,0.06421959241693997,0.6019457531434522,0.5797850041579558,0.5479599431320642
"Hong Kong SAR, China",0.006975613736425242,2.4849066497880004,9.457903327831136,25.85375472606113,0.05921185963184608,5.267858159063328,5.480638923341991,0.019802627296179712,0.4700036292457356,0.04879016416943201,0.7884573603642702,4.418186965463694,-0.11115471248677267,0.4559754255112559,0.9264235905042948,0.6710887922657012
India,0.023716526617316044,4.339193295242584,11.706565887923823,27.304716861184684,0.04401688541677432,3.4011973816621555,5.480638923341991,0.05638033343610764,0.0,0.10345870836822998,0.0,4.166394734208978,0.0867375484910653,0.6721077311607248,0.2562519787380252,0.6776643994417437
