Country,Birth Rate,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Mobile Phone Usage,Life Expectancy Average,Net Tourism Impact,Dependency Ratio,Urban_Rate,CO2_per_capita
Romania,-1.044823946402089,-1.0451523226131059,0.3475377655736177,1.02458416986616,-0.31891108884414043,-0.00877383818605804,-0.4775046472885956,-0.6487073112628151,0.6662842376888307,0.7067633773186967,1.1515596131924353,0.46421724096244016,-0.4366779993721453,-1.0597811587058021,-0.3407590008625283,-0.22741778399305465
Russian Federation,-0.9547172949039946,-0.0963535982641372,2.5392098684220996,2.1331311472873105,-0.05425566657266565,0.16699059236087563,0.535257972752114,-0.7187286505169227,0.2724847669324157,0.37458796824213036,2.2435906134282293,0.0024501019814643405,0.9113761157740515,-1.2466504991940968,-0.34295438317340027,-0.24923859331454715
San Marino,-1.044823946402089,-0.2386734069164825,-0.35442601321453704,-0.5385059718957341,-0.5394572740703697,2.1536896078514824,-0.15994348676735617,-0.9988140075333535,1.0600837084452455,-1.2198539953253886,0.9331534131452762,1.439058978811167,-0.220177032073037,-0.39046331311423205,5.580295528483868,5.928108478130832
Serbia,-1.1349305979001831,-0.8553925777433122,-0.3257583919916368,-0.27493017330623365,1.842441526372904,0.2642219794719453,0.18336587595830806,-0.8587713290251381,0.6662842376888307,-0.20671899764186094,1.3699658132395938,0.46421724096244016,-0.46146030405503213,-0.9473805761669636,-0.33127900773141056,-0.17442568231229527
Slovak Republic,-1.044823946402089,-0.61819289665607,-0.2725234052630569,0.2171491668388778,1.2690214447847086,1.943333241505418,-0.0054542735408072635,-0.8587713290251381,1.847682649958075,-0.17350145673420425,0.9331534131452762,0.6181396206227654,-0.18059418431564833,-1.316909102893822,-0.32611574196240567,-0.1746289218939429
Slovenia,-1.044823946402089,-1.1874721312654513,-0.6018422769511524,-0.1811130797702973,1.2690214447847086,2.1536896078514824,0.020293928663617556,-0.9988140075333535,1.4538831792016602,-1.186636454417732,0.9331534131452762,1.0285992997169662,0.5002307971114365,-0.9848832243251548,-0.2983695624030843,-0.14733724262996825
Spain,-1.044823946402089,0.7575652536499347,2.5392098684220996,2.1331311472873105,1.445458392965692,2.1536896078514824,-0.38309457253903795,-0.9638033379062996,1.4538831792016602,-0.17350145673420425,1.1515596131924353,1.3364440590376168,0.9113761157740515,-0.8316837888615913,-0.34259534596613855,-0.2453894916832473
Sweden,-0.9547172949039946,-0.7130727690909668,0.7071643607715017,2.1331311472873105,1.5777861041014294,2.1536896078514824,-1.164123372739924,-0.9988140075333535,2.6352815914709047,-0.17350145673420425,1.1515596131924353,1.2338291392640666,0.9113761157740515,-0.5016564951190585,-0.32820445022564754,-0.21030354645676708
Switzerland,-1.1349305979001831,-0.61819289665607,0.07712590102292377,2.1331311472873105,2.062987711599133,2.1536896078514824,-1.6705046827602787,-0.9638033379062996,2.24148212071449,-1.7015083384864098,1.3699658132395938,1.3364440590376168,0.9113761157740515,-0.8199272283894448,-0.3274816971016878,-0.19530531652002164
Turkey,-0.414077385915429,-1.1874721312654513,2.492620712835181,2.1331311472873105,0.1662905186535636,0.269831482574507,-0.2972672318576219,-0.3686219542463842,0.6662842376888307,-0.17350145673420425,0.7147472130981174,0.46421724096244016,2.2048747407502822,-0.5648098661438642,-0.34309237632090717,-0.24923859331454715
Ukraine,-1.044823946402089,-0.19123347069903407,2.5392098684220996,0.531181942696833,0.6514921261512673,-0.44444524581835104,3.177667223981211,-0.7187286505169227,-0.12131470382399905,1.3046791136565163,1.3699658132395938,0.053757561868239434,0.03143220019349435,-1.059781158705802,-0.3429806179211569,-0.24491452051114665
United Kingdom,-0.8646106434059003,-0.9028325139607606,2.5392098684220996,2.1331311472873105,1.5777861041014294,2.1536896078514824,-1.2671161815576233,-0.9287926682792457,2.24148212071449,-2.066901288470633,1.3699658132395938,1.1312142194905164,0.9113761157740515,-0.5648098661438647,-0.3426626262329573,-0.24923859331454715
Bahrain,-0.504184037413523,-1.0451523226131059,-0.5252016638367721,-0.45621000908327414,-0.8041126963418445,0.548436803335072,-1.902238502600102,-0.8587713290251381,1.0600837084452455,-0.8544610453411654,1.3699658132395938,0.7207545403963156,0.4981656050545292,-1.792429910645409,-0.2022648471462521,0.13983228297683103
"Iran, Islamic Rep.",-0.32397073441733465,-1.0451523226131059,2.5392098684220996,2.1331311472873105,0.3868367038797922,-0.1471415813825803,0.7412435903875124,-0.5086646327545996,-0.515114174580414,-0.17350145673420425,0.2779348130037995,0.41290978107566506,-3.6026174226109346,-1.1690244215104035,-0.34309631898226445,-0.24923859331454715
Iraq,0.9375223865559855,0.04596621038820811,0.27797009357144276,0.4728764747662539,-0.7600034592965986,-0.5472861360319825,0.46659610020698106,-0.018515257975845908,-0.9089136453368288,0.4244142796036154,0.2779348130037995,-0.048857357905310754,-0.2349775751475388,1.0717908323374414,-0.34143371173407944,-0.23656710645532278
Israel,-0.05365077992305184,-0.5233130242211731,-0.11097333000456805,1.458605252394965,0.5632736520607756,2.1536896078514824,-0.23718809338063063,-0.9638033379062996,1.4538831792016602,-1.4689855521328132,1.3699658132395938,1.2851365991508417,0.18838679651844412,-0.0875161197448523,-0.322147397477237,-0.11478844900979286
Jordan,0.5770957805636084,-0.9028325139607606,-0.5895073410018474,-0.4469961867964833,1.401349155920446,-0.126573403339854,-1.0439650957859417,-0.4736539631275459,0.2724847669324157,-0.6385470294413972,0.9331534131452762,0.46421724096244016,1.182432573243126,0.11331239649954111,-0.31898973146835663,-0.23527621376197747
Kuwait,-0.1437574314211459,0.18828601904055342,0.20857326555748526,0.41267695354903755,-1.068768118613319,1.9208952290951713,-1.3701089903753225,-0.7537393201439765,1.0600837084452455,-1.136810143056247,0.7147472130981174,0.5155247008492153,-4.60630076226785,-1.2961328808841548,-0.2792454342470866,0.3295390792487536
Lebanon,-0.8646106434059003,-1.0451523226131059,-0.617047391902512,-0.32844008352278486,0.4750551779702839,0.31470750739500075,-0.666324796787711,-0.7887499897710303,0.2724847669324157,-0.5721119476260839,0.05952861295664072,1.0285992997169662,1.1542082817987271,-0.6882888453117678,-0.3062067573081077,-0.20534113454793143
Oman,-0.05365077992305184,-0.9028325139607606,-0.2197667817014861,-0.19122334050674994,-1.4657512520205316,0.14081291121558764,-1.6790874168284204,-0.7537393201439765,0.2724847669324157,-0.9375048976103071,2.0251844133810706,0.7207545403963156,-0.5199740790007371,-0.8514004186424647,-0.2917029532103174,0.023745453774841874
Qatar,-0.9547172949039946,-1.1400321950480028,0.007899916997183823,0.3277182108177243,-1.642188200201515,2.1536896078514824,-1.902238502600102,-0.8237606593980842,1.0600837084452455,-1.00393997942562,1.3699658132395938,0.925984379943416,-0.220177032073037,-2.360747901230063,-0.22410591107056596,0.6340436443629869
Saudi Arabia,-0.1437574314211459,-0.4758730880037247,2.5392098684220996,2.1331311472873105,-0.9805496445228276,0.2735711513095482,-1.5331809376700132,-0.5786859720087073,0.6662842376888307,-0.17350145673420425,2.461996813475388,0.6181396206227654,-0.5151552975346202,-0.5270331921518575,-0.3399473576028372,-0.19380713158537083
